Safdarjung,28.585,77.206,0.7640068
Patna,25.591,85.088,1.825127
Lucknow,26.761,80.889,2.29202
Amritsar,31.71,74.797,5.432937
Patiala,30.333,76.467,5.98472
Pendra road,22.767,81.9,14.89813
Dibrugarh,27.484,95.017,15.19525
Jharsuguda,21.617,85.517,16.04414
Birsa_munda_ranchi,23.314,85.322,19.99151
Gaya,24.744,84.951,22.66553
Satna,24.567,80.833,24.70289
Gorakhpur,26.74,83.45,24.78778
Tezpur,26.617,92.783,28.43803
Allahabad,25.441,81.735,31.36672
BAREILLY,28.422,79.451,31.70628
Lilabari,27.295,94.098,37.52122
Dehradun,30.317,78.033,37.64856
Imphal,24.76,93.897,39.34635
Varanasi,25.45,82.867,47.70798
Agra,27.156,77.961,53.82003
Raipur,21.183,81.733,55.17827
Ganganagar,29.917,73.917,67.02037
BHAGALPUR,25.233,86.95,68.59084
Bagdogra,26.681,88.329,73.34465
Ambala,30.383,76.767,95.88285
Chandigarh,30.733,76.883,96.3073
Gopalpur,19.267,84.883,96.3073
BAHRAICH,27.567,81.6,96.34975
Malda,25.033,88.133,96.34975
Kailashahar,24.317,92,96.56197
Kanpur,26.404,80.41,99.83022
Kolkata,22.655,88.447,0.3820034
Guwahati,26.106,91.586,2.334465
Hissar,29.179,75.755,2.631579
Jabalpur,23.178,80.052,5.645161
Jamshedpur,22.813,86.169,10.2292
